RecordNo,HBU_Q17
1561,The decisions about brownfield sites should be made by local communities and not outsiders who have their own agendas.
1749,"The definition of a 'brownfield site' encompasses too large a range of possible attributes of an area of land to be useful in designating how land should be redeveloped, for e.g. setting a target on the number of brownfield sites to be redeveloped."
94,"The development of such sites depends on size, context and location."
987,"The first free text question was vaguely worded, didn't think I answered in a way that is helpful"
668,"The government should address second homes, buy to let and empty properties first."
1341,"The government should build on brownfield sites first, then only build on greenfield sites as a last resort."
1620,The government should stop large supermarkets from buying brownfield sites and sitting on them for years.
719,"The housing problem (specifically affordable housing equal to average salary and borrowing) needs to be solved. It is already overdue by around 20 years. Building on brownsites for this purpose makes for common sense. However, building luxury £300-400k+ houses and apartments does not solve the primary issue. Which is what keeps happening and leaving average young people in a perpetual state of not quite poverty, but also not quite advancing in life. It’s monumentally difficult living in this country if you are under 40 and don’t have rich parents who can provide vast sums for deposits, even more so if you are single. The rent market needs to be capped, similar to Germany. At least they know they won’t be able to buy homes, but they still have more money in their pocket each month because of their designed system."
188,"The images you showed of 'brownfield sites' that had obviously been left to become overgrown and - to some degree - to be 'reclaimed' by nature were potentially misleading, as they may have contained large amounts of highly toxix chemicals in the soil, water courses, etc."
738,The land has to be owned by some legal body (person/organisation) and they need to be brought to task when brownfield land is abandoned.
2095,The last 12 months has shown how much people appreciate places to walk when they live in a highly populated area and one of these places locally was a brownfield site
163,"The level of surveying to determine whether a brownfield site will eventually have problems with industrial contaminants needs to be suitable, otherwise there is going to be a health crisis in the area within five years of development. This means it must be done by the civil service who have no agenda rather than a private firm."
1320,The local community should be consulted regarding any future plans of brownfield sites
250,The local context is vital is deciding how land should be used. Local need and provision must be considered.
2218,The locals should vote on each site.
1898,The location of any Brownfield site should always be considered in relation to the environment around it and should always add value to the community. This value is not always about £
560,the name brownfield is misleading - brownfield can be green and greenfield sites brown !
1967,The need for more housing is the overriding problem of the age.
1979,The need for new housing cannot be ignored and brownfield sites are generally preferable to use.
762,"The need to develop new housing is minimal, there are more homes in the uk than are needed to house the whole population. Should prioritise development of brownfield areas for environmental purposes"
1999,The options given in the questions are too stark. In determining land use you have to take account of local circumstances and the balanced needs of communities.
814,"The photos and questions have not covered sites where there are remnants of the original development (abandoned buildings, debris etc) which are the ones which cause most concern. None of the sites in the photos was an eyesore."
2113,"The phrasing of the questions and the choices given are woefully inadequate. It would probably be difficult to include all the possible variables but the results from this topic will be all almost meaningless without more context being provided. I would like to congratulate whomever chose the photographs, is one supposed to assume the view behind the camera matches that in front? Perhaps accompanying wider aerial views might have improved the results. Whoever is responsible for the future creation of a brownfield site should also be responsible for reinstating it's original condition."
112,The picture round has made me wonder how strict the GOV guidelines are in defining 'brownfield' and whether or not greenfield sites are being exploited...
58,"The planet is the priority, then housing."
1247,"the planet needs all the help, no more clement need as we seem to be getting more rain"
1069,The previous pages were difficult to fill in so it’s no5 representative.
1146,The public should be made aware if new building work ie housing are being built in these places
223,The questions did not allow my answers to be recorded as I wished. Inputting a choice in row one sterilised that choice in subsequent rows and so on for the whole set.
1305,"The questions were really difficult to answer because so much depends on context. If an area of ""little value to wildlife"" is ""available"" for re-purposing, it is possible that that area could be helped to have greater value to wildlife as is happening in various parts of the country. The areas that currently considered of little value to wildlife may improve greatly with gentle and appropriate management."
141,The questions were too difficult to think about
90,"The reason I put housing as low priority is because it puts pressure on local facilities such as doctors, dentists etc"
56,"The selection of sites for various forms of development should be informed by their current status and future potential, not their previous use. Many former industrial sites are now valuable wildlife habitats because of the rare soil nutrient conditions created by their former use, e.g. quarrying, whereas greenfield farmed areas are often a source of pollution and carbon and nitrogen emissions."
1194,The survey will not allow the user to select the same line twice.....the survey is duff
103,"The UK desperately needs more housing, but there must be a balance to protect our wildlife and rural areas. Once it's gone, it's gone for good."
885,the uk has lots of land empty or used for farming - there is plenty space to cope sensibly with housing needs - there should continue to be nature reserves and they should be expanded in clearly defined areas for the support of biodiversity. use of land for solar adn wind power is not unattractive and provides sustainable energy so should be supported to expand
673,"The Uk, needs wildlife, it is sad to see housing being built on land, houses or social housing needs to build up not across"
716,The use of brownfield sites could be the solution to the lack of social housing.
948,"The use of brownfield sites should be prioritised and we should be seeking to protect wildlife on greenfield sites where possible but this should not be at the expense of providing much needed housing, particularly affordable housing, in sustainable locations."
359,"The view taken in this survey is too narrow, and ignores that brownfield sites are developed as a response to capitalism-related unchecked growth. We're a small island. We're overpopulated, overcommitted to unlimited growth, and we inhabit a planet that is being rendered uninhabitable for human beings. A much wider view is needed than simply seeing wild land as a development opportunity just so some over-affluent, barely human empathy vaccuum can line it's pockets."
438,The world needs no more factories.
1891,there are a few brownfield sites in my area which look unsightly
2069,There are a few of these sites near my area which are now nature reserves and are beautiful
1319,There are many brownfield sites in my area and I’m glad to see that redevelopment is taking place at last
2207,There are many questions to be answered about specific sites and each site will have it's own specific attributes in relation to benefitting other surrounding environments.
1057,"There are several areas of brown field sites in my area which integrate well I to the community and provide a breathing space fro roads,houses, and cars,we have held petitions to keep this land when it was suggested turning In to a road, this site houses fruit trees from old back gardens, the remains of an old canal locks, provides walk ways for local communities to take short cuts to work and school from home, it also forms part of the peninsula e way for cyclists walkers and much much more"
1667,There are so many debatable issues surrounding these options it’s almost impossible to provide a satisfactory or ‘valid’ response.
2222,"There are so many empty buildings that need developing before we start to dig into anymore countryside, and if any brownfield sites are to be used up then the wildlife must be considered first. We do not need more housing !"
1287,"There are too many abandoned mills, empty shops and buildings that need repurposing"
2140,There are too many brownfield sites in the UK. The Government should be putting more money into improving these sites.
2174,"There are too many houses being built on greenfield sites, which reduces our ability to grow our own food."
1963,There could also be a case for planting trees on these sites.
304,"There has to be a careful consideration about the toxicity of the soil, the location of the site and the wildlife for any decision to be made."
2150,"There is a lot of house building happening near me (Horsham) which appears to be on farmland, or land rich with wildlife. It seems to be far too much, too soon. There seems to be a large push for house building at the moment though little thought to the infrastructure. Just seem to be loosing a lot of nice farmland and nature sites."
147,There is a lot of land that is unused that could be put to better use
2114,There is a need for much more affordable housing so this is a good use of Brownfield sites - but it also important to support biodiversity and local fauna and flora - these don't need to be mutually exclusive. Creative solutions to provide eco-friendly affordable housing whilst providing open spaces for recreation and nature to thrive.
1325,There is a need to rethink the whole city landscape. Large stores are barely viable unless put in malls with car access.
1919,"There is a real shortage of affordable homes in the UK. Brownfield sites should be utilised accordingly. We must create more protected areas for biodiversity, especially pollinators etc."
665,There is a shortage of housing in this country for which brownfield sites should be used through an accelerated planning process
1490,There is an obvious shortage of affordable housing but this should not be prioritised over areas rich in wildlife
203,There is an old industrial area local to me that was knocked down nearly 10 years ago and has remained unused ever since. More information for the public on what it happening with such sites would be of use.
1742,"There is no perfect answer for the use of these sites, they all finish up with a compromise."
626,There is no point in building vast housing estates if the infrastructure is weak
279,There is nothing worse than areas with potential just being left idle.
281,There is too much housing and not enough green spaces
458,There should be less development and use sites that have already been used for work purposes and reuse them for some else
1860,There should be more examples of brownfield sites so people understand what they look like rather than picturing part built property being abandoned
422,"There should be more green spaces everything is been built so close together there is no breathing space for people. Industrial & warehouses are built close to housing estates causing more & more traffic, congestion & pollution."
1672,There should be more renewable energy site built in these places
1549,There should be no unused sites either make nature reserves or affordable housing
1275,There should be undeveloped sites in every town that allows wildlife to flourish
1634,"There was nothing in this survey about. inner city brownfield sites, where much work needs to be done to take advantage of the possibilities they offer"
1001,"There were a bunch of questions with yes/no answers. I just said yes to all as there was no option to say I don't know. Any site could be a brownfield site - it gets grassed over (naturally or purposefully), and after some years unless there are physical remains of old buildings / industry then it's pretty impossible to tell from a generic picture whether it is nature or brownfield. Any and all brownfield sites should have all contaminants removed from the land / any water, including from under the land / water prior to re-purposing."
1235,"There’s too much variation in the meaning of brownfield site as a term for this survey to have any value. And your grid answering, different numbers for each row, and cancelling ones that are the same, forcing one to tick numbers that aren’t genuine choices is mad."
604,These are definitely preferable over Greenfield though there is too much housing going up.
280,"These are important pockets of land which could be crucial to native wildlife, bees, birds etc. We do not need any more housing being built up on land better served for our environment"
534,"These looked like brownfield sites in the countryside, Unused or derelict brownfield sites in, or adjacent to, built-up areas are the ones that should be developed for housing. We need to keep as much of our countryside/rural areas as possible."
720,These past questions regarding Brownfield sites. The ones where you mark 1 to 8 you need to look at the set up. If you press 1on one line and 1 on another then the previous line is cancelled out. The only way you can complete the survey is to go 1 2 3 3 5 6 7 8 on separate lines. Which makes answering the questions TRUTHFULLY is IMPOSSIBLE. Please fix
1174,"These sites should be left as open spaces unless they are very polluted,then they need to be cleaned up."
1101,These sites should be used to maximise the potential for the environment
1073,They are a waste
1387,They are being turned into warehousing eyesores in this area with attendent traffic issues
519,They are fast disappearing and that would deprive people of green spaces for waking and exercising dogs.
444,They need a better name/branding change to appeal more.
1998,They need to be used for the community
230,they should all be left as open spaces
488,they should be cleaned up and managed as nature reserves
722,They should be remediated using pollution removal technology and microbiology techniques and brought into use
1805,They should be sorted for housing as I feel they’d the most thing needed in this country
1046,They should be used before farm land
1184,They should be used for housing etc before greenfield sites are considered. Local knowledge should also be aplied to these sites.
403,They should be used to benefit and good for the environment and people. No pollution or disturbance to wildlife or nearby homes.
45,They should be used to the maximum benefit to the local area and wildlife. definitely not for housing
1789,they should consider wildlife and spaces for people to go with climate change we need more open spaces
1880,"they should consider wildlife instead of housing as we need the bees and other wildlife to make sure we keep living, why cant they do up old houses instead?"
1382,They should not be automatically earmarked for low quality mass housing projects.
962,They should not remain dormant without public access.
316,They should only be developed if not rich in wildlife.
206,They shouldn't exist in the first place; neither should humans.
879,Things like fort Dunlop are good
2180,"Think care needs to be taken thinking that brownfield or greenfield sites lack nature, Nature only becomes absent or diminshed where people, and concrete, take over."
239,Think carefully before starting making plans
1338,Think there need to be more about
1084,Think there should be a country wide register of all brownfield sites
431,Think they should do more to reduce the population and /or use empty buildings before building new builds
114,"This country is overcrowded with buildings, we are an island we need open spaces, fill the empty houses before developing more."
1031,This government is not interested in the future of the environment. They will mortgage tomorrow for short term gains. Profit is the only motive this government has. The exploitation of all our habitats must be paramount. Our children will not thank us for paving over the planet merely for profit.
1509,"This has been possibly the most unhelpful series of questions I can remember encountering in a survey. I would have thought that it was universally acknowledged that you can find some sites, defined as brownfield, that appear to be quite ""natural"", that it can be the case that you cannot tell simply by looking at them and that the potential use for sites depends on many factors one could not possibly ascertain from a picture: from where they are situated to what lies underground or in the soil."
686,"This is a very complex topic with far reaching consequences beyond the scope of this survey eg immigration, population, housing needs and infrastructure availability to name but a few and while I have done my best to answer the questions I did find them extremely simplistic."
157,"This is a very wide definition of brownfield sites and the questions are meaningless without context, particularly when comparing urban and rural brownfield sites and without considering residual pollution issues, cost of clean up and local demand for facilities and services."
610,"This is all to do with meeting the demand for more housing in this country but why use up our land for housing, brownfield or otherwise when there is so much run down property that could be demolished and that land used for building new houses or re-purposed."
1297,This is confusing! I always thought a brownfield site was one that had been used before for either industrial purposes or for housing (now derelict)! After this survey I am still confused!!!!
1461,"This is very difficult to give a real opinion without knowing where these sites are - outskirts of a town/city, countryside, suburbs e.g a wind farm on the outskirts of a town is very different from the middle of the countryside etc."
490,This land should be used before greenbelt
2079,this land to be used to provide nature with a home to thrive
472,This subject quickly becomes one for specialists. There are many factors to take into account. I’d like to form my views after receiving a consultation paper on a particular site. Stating general preferences as I’ve done above seems rather pointless to me.
1990,"This survey is useless. It is impossible to select an option in a similar position to the one above it. For example if I select the first option on the left, I cannot select the first option on the left in the following question. Poorly designed. Also the questions are too loaded and false assumptions are made. A more clearly defined set of questions and clearly define the characteristics of a brownfield site giving its history. Otherwise a valued answer to any question cannot be made.This is a very poor survey!"
249,This topic is more complex than the questions you ask. There is not enough information about the circumstances of the sites to get a true picture of the situations in reality.
2081,"This was food for thought for me, most interesting!!"
975,Time to look at unoccupied property first
858,To many houses being built we need green spaces
317,To many sites are being ruined with new bad quality new build housing
106,To much building on them
368,Too difficult to read and enter values for
282,"Too frequently in my experience, councils and the like do not employ knowledgeable individuals or groups to perform biodiversity surveys as the people they employ are more likely to come up with an answer that is the one desired by the council or the developer rather than the one required by the public."
971,Too many are turned into housing estates
1159,Too many developers are being allowed to build on green belt land and greenfield sites. Too many new houses are being built on land that floods. I think Government corruption and poor legislation is allowing this to happen. Generous donations to the current Government from housing developers are allowing local peoples view to be ignored and overridden.
210,"Too many houses going up, resulting in less land"
2196,"too many investment building exist and are being built all properties must be used for housing, offices converted too"
1668,Too many natural spaces being turned into housing without thought of wildlife or communities.
37,Too many new housing estates in the UK
1795,Too much being used for housing
1806,"Too much development in this area, let Brownfield sites alone"
1818,Too much development on land that needed to be left alone rather than redevelopment of poor areas
1053,"Too much development, we need to reduce our population"
132,"Too much housing with no added infrastructure in my area. No added shops, GP surgeries, parks, schools, hospitals, roads etc"
1130,Too much is monopolised by wealthy Individuals
475,Too much is used for housing
1333,"Too much land is owned by too few people. Developers don’t use land well, modern housing estates are mostly overpriced pokey houses in twee cul de sacs with no sustainability or walkability. use of brownfield sites is a positive for being land back into use, rubbish leading questions in this survey, you can’t make a judgement of one site or another based on one photo."
634,"Too much land ownership in the UK is secretive. Data on land ownership should be freely available. We should move towards taxing land ownership (along with other wealth) more, and income less."
2158,Too much of our open countryside is being used for housing and industry.
292,Too much talking. Why not have local authority elections have these questions for the electorate as well as voting for councillors?
232,"Too often brownfield sites not explored as to their potential; too much high quality agricultural land still being used for housing and other develpolments, particularly in South East England."
1311,transparency on development is crucial
2056,Treat golf courses as brown field sites
1256,"Try and keep as wildlife, if no sign of wildlife, use it for renewables"
1705,"Turn into housing, schools and youth centres"
927,"Undeveloped and brownfield sites should be used to improve the biodiversity and environmental health of the area. It should not be sold to the highest bidder, or a friend/family member of the cabinet office!"
491,"Undeveloped brownfield sites should as a priority be earmarked for social housing, with affordable housing a secondary concern. Equally as important, undeveloped sites should be managed in order to discourage delinquency."
1829,Undeveloped land in towns and cities can be used to build on.
823,Undeveloped sites or greenfield sites?
945,Undeveloped sites should be kept for wildlife
455,Undeveloped sites should be used for housing where there is a local need for this. But it should be affords me to that local area and available to local people.
1156,"Unfortunately more housing is essential due to overpopulation. If limits on human numbers cannot or (more likely) will not be enforced then some land has to be sacrificed. I would prefer this to be land that does not currently support wildlife to a great degree. However, as we have seen with HS2 sadly human 'wants' are always favoured over wildlife 'needs'."
1054,Unfortunately we need to develop available sites to keep up with demand for housing but no-one wants it in their local area.
2177,"Unused sites are a waste, they should at least be open to the public somewhere where people can walk with dogs, that is providing the site is safe"
731,Urban brownfield sites should be flattened
1172,Use barren land for housing and nature rich land alone.
1809,Use before greenfield sites
677,use brown field sites before greenfield
923,Use brown site before green for housing
1580,"Use brownfield sites for development, not greenbelt."
1683,"Use for affordable housing for people to buy, or renewable resources"
2116,Use for nature to take over or public nature reserve
186,Use of brownfield sites should be prioritised over expansion into the countryside.
95,Use of land should be closely managed
2238,Use should be dependant upon location. Inner city or urban brownfield ites should be prime for housing. This survey totally ignores this important aspect.
1367,Use them
1474,Use them and not green belt
2058,Use them before greenfield
705,Use them first in preference to developing green field sites
543,Use them for houses if no wildlife
1848,Use them for housing
11,Use them to protect wildlife and to encourage renewable energy sources that won't damage the environment
1505,used to reset the economy as part of the covid recovery/green agenda
2197,Using as many practical brownfield sites as possible is a much better option than farmers selling their land or building houses on areas known to flood. Or interfering with the green belt.
749,Very complecates issue. I don't know enough to comment
783,"Very hard to pick the least worse options in this part of the survey, the choices are all pretty dire. would like to have seen planting a woodland or having a lido built or an outdoor school where children could learn about planting seeds and gro.wing their own food"
2129,Very interesting topic indeed
1625,Very interesting topic to explore - many important issues vying for precedence!
7,very useful
642,"We already have too many flats filling up all areas of green and brown sites locally with little consideration to green/brown/wildlife areas for people and nature to enjoy. We should also be doing more to create a thriving local and national green economy, to work in conjunction with nature and local communities to complement living areas and create pleasant, green living areas generally."
1947,We are in desperate need of housing so this would be good but combined with flowers and green space
1025,"We are in grave danger of causing severe issues with respect to biodiversity and climate change, and so supporting wildlife and then development of renewable, zero carbon energy should be the top priorities."
588,We desperately need more housing both rented and owned so young people can get a home of their own at an affordable cost. Development companies should be penalised if they just sit on their land banks.
1957,We desperately need more places for wildlife to thrive and for people to get out in nature.
740,"We do not need more houses built where we concrete over land that can absorb water. We do need more trees and that has not been discussed here, apart from a vague idea of managed nature reserve that could be treeless."
843,We do not seem to be looking after waste ground enough.
2232,We have a lot of brownfield sites that are being ignored by developers who would rather build on the green belt
1385,We have too many empty industrial sites so I would rather we did something for the environment
693,We need houses
774,"We need housing and despite the often pushed myth, we have miles and miles of beautiful open spaces. Using brownfield sites should be push more and more. Care of course should be taken in over burdened areas and we must take care of nature but a balance can be found without every insect/wildlife taking over."
675,We need housing and facilities for the people who will live there
844,We need housing and jobs but also need green belt areas for human enjoyment.
1379,We need housing.
1110,We need housing. We need to make the land available
2112,"We need more biodiversity in the world with more trees to enable carbon capture, we also need space for humans to enjoy the out doors and for wild life (nature) to flourish Solar power in UK not great neither bio fuels as they are also carbon emitters There are plenty of derelict industrial sites that can be repurposed for industry and although we need more houses we also desperately need to reduce population growth which since the 1950's seems to have exploded"
150,We need more green power in ways which affects wild life least e.g. wind and solar farms
2011,We need more green space for people to get out doors
1812,We need more green spaces in our Cities and Towns
153,we need more green spaces in towns - so bring back parks - sports fields for schools etc brownfields on the edges of town for renewable energy - away from schools and houses .
336,We need more houses
653,We need more housing but also accessible low cost nature spots
42,We need more housing so brownfield sites should not be left undeveloped and derelict.
1281,"We need more social housing in the country, where better to put in than places that get used as dumping grounds by the public."
1299,We need more wild spaces for wildlife hopefully this can be done properly some of it can also have either wind and solar sites that also encourage bio diversity.
217,We need natural formations and areas of natural beauty and green energy sources
1748,We need these sites invested in for wildlife and green spaces . But be managed!! No fly tipping or anti social behaviour
79,We need to adapt most of the housing we already have making previously built properties affordable for everyone rather than building more homes that can't be afforded by anyone which then sit there vacant.
158,We need to Balance out wildlife but also Build more affordable housing. especially in the South Hams in Devon.
1892,"We need to be giving more land back to nature, not taking it away. No to housing on brown and green field"
418,"we need to clean up the places that allow for crime such as derelict buildings, and we should be using these sites to produce renewable energy where possible, but where there is a benefit to wildlife, they should be carefully maintained but mostly left alone."
1465,We need to consider housing for those who cannot afford to buy and within this must be sufficient garden space for children to flourish and learn about providing food from garden space.
707,We need to focus on making better use of space and the number of empty homes/offices before looking at undeveloped land. There will be lots of commercial property that will remain empty after the pandemic as people work from home more and office space is reduced. This should be converted to housing to preserve what undisturbed land is left
586,We need to increase the development of these areas
1986,We need to keep as much green land free of housing and building as possible . We are only a small island .
704,"We need to look at impact holistically, rather than just site by site - eg, by allowing a river to curve more, flooding could be reduced 100 miles down stream; if this space is turned into housing, how does that effect the light and access to open space of the existing residents? This isn't NIMBYism, good quality affordable housing is needed. I would also argue that not every last millimetre of land must be put to economic use, see what happens when the development comes from communities, nature and time"
1458,We need to make sure that wasteland or unoccupied buildings are put to use. There is an urgent need for housing and it would be better to have it used for housing (local authority or housing association)
1821,"We need to protect our natural world far more than we currently do. Mankind doesn't own this planet, we share it with all other life forms and vegetation!"
577,We need to strike a good balance between keeping open spaces and developing every bit of spare land going
497,We need to use these for natural uses as far as possiblr
1077,We need to value open spaces for the benefit of everyone.
1882,We really need more nature sites. We are losing our green spaces.
1173,"We should be making better use of brownfield sites and prioritising reuse of land over permitting development of 'virgin' land everywhere. In addition more attention needs to be given to the needs of local communities, for example by favouring starter homes and retirement/downsizer homes instead of excess 'executive' homes, which create imbalance in smaller communities such as the village where I live."
646,We should be pushing everything towards renewable energy
791,We should be using brownfield sites and empty dwellings to provide more council housing and affordable housing before we ruin the countryside by overdevelopment.
1718,"We should do our best to preserve wildlife first,"
2216,"We should make more use of previously developed abandoned sites over greenfield sites. If rich in nature; I would prefer this was left or prioritised to nature, or utilised for something that contributed or minimised the negative impact on nature over housing or industrial use."
2026,"we should not build on Greenfield sites. We should re-develop Brownfield sites. Remanage/ Repurpose old housing/ tower blocks in cities/towns is where we should redevelop/ build houses, cheap terraced housing is (classic style with modern tech ideal for best use of space)"
332,We should plant more trees on undeveloped sites which have few other uses
294,We should strongly look at brownfield sites for other uses BEFORE we start looking at green sites to build housing on. We can't cover the UK with houses it is plain stupid. People live in the country for a reason not for them to extend into towns. Now Covid has let's say depleted some high streets/offices etc these sites should be looked at for housing.
1230,We should use all brownfield sites before any other land is developed
606,We should use more brownfield sites than we ar and save the green field sites which will of course mean undeveloped sites
1204,We should use space we have but should be looking for climate positive change.
454,"We wouldn't need to develop most of these sites if immigration was only on an ""as necessary"" basis."
1240,Well since I currently live in what seems to double up as a tip anything would be an improvement and the rats think so too!
1595,"What happens to brownfield sites and abandoned greenfield sites depends very much on the size and location of the site. In view of the government's targets for housebuilding, I would prefer development to be on brownfield sites than greenfield sites. The pictures that you showed earlier in the questionnaire were all of fairly large areas, the areas that I was considering were all very much smaller, for example the site of an old factory in towns/villages and I still believe that these would be best developed for housing rather than a greenfield site being developed for housing in an adjacent village."
810,Whatever happens to them they should all be managed sites
621,When land is at a premium brownfield sites should be reused for the most appropriate use
1588,when possible use for housing
593,When re-purposing land the character of the land and the area should be considered. Areas rich in wildlife should be last on the list to be re-developed anything that ruins the character of an area should also be considered. An area that is rich in wildlife and contributes to the character of an area should be left as an undeveloped site. Brownfield sites should be prioritised for housing and industrial development.
130,When the older generation dies there will be a surfeit of housing. Many of the homes being built today are so small and shoddy they are the slums of tomorrow.
925,"where housing, particularly affordable housing is needed, this should be the priority."
1877,Where possible public should be able to access land where it is safe to do so. Unsafe or polluted land should be made safe for wildlife and public access
1062,Where possible use the opportunity to develop housing on brown field sites.
2132,Where we live there is a bigger problem of sites being bought for development then abandoned before development is completed. This is a waste of land which should be used for housing and creates dirty and unsafe areas.
1029,"Wherever possible city brownfield sites should be used for housing development, rather than developing new green sites. Empty shops could be redeveloped for housing for example."
1616,Which type of buildings
128,"While housing issues need to be addressed, too much building work spoils the landscape and makes problems for wildlife."
1475,"Whilst the main focus should be maintaining biodiversity, the local community also needs to be considered as often just leaving a site means that it gets used for other things instead of actively managing the site."
1072,Why can’t old derelict houses etc be demolished and new housing put on that site. We need open spaces and more trees
2164,"Why does brownfield sites take soooo long to get planning permission? It’s what puts developers off developing these sites... Sidford, Devon, industrial site.... excess of ten years before planning granted!!!"
600,why is there so many green field sites used before brownfield site its because the developer has to clear a brownfield site before they build and a green field site is easy to clear
193,Wild spaces and wildlife are needed for mental health
2142,Wildlife and access to local school children to learn about global warming and environmental changes could be beneficial to the local communities.
1278,Wildlife come first
2212,Wildlife for all
1663,"Wildlife is the most important factor in terms of building on any site and housing has no interest for me, especially over the habitat of wildlife"
900,Wildlife is the most important thing to protect
140,Wildlife need places to live just as much as people. The future emphasis in the world and certainly in our small country needs to be something drastic to reduce the population because the planet and our small island just cannot support all these people and all these cars
835,Wildlife should be the priority
311,Wind farms and solar farms are an enormous waste of land and energy.
1817,Wind farms are noisy for locals and kill lots of birds which needs addressing
2149,Wind farms should only be built at sea. All new buildings should have solar panels fitted by law.
759,"Wind farms, and solar power are fecking useless, they are hugely INEFFICIENT, they take up huge swathes of land, they kill ENDANGERED, wildlife, and they only go ahead because many MP's have a financial interest in them. Brown sites should be used for social housing for BRITISH people, not scrounging illegal immigrants that our politically correct and gutless politicians let in without any background checks."
31,wish i was more educated on this topic before taking the survey
1276,wish more housing was on brownfield sites
1792,"With 216,000 homes in England empty for over six months and over 600,000 homes currently vacant in England, I think plans to put more land under housing is premature. There are ways to bring these properties back into the housing economy eg. having an open register of empty homes so that people can contact the owners, like they do in some US states."
1670,With the housing shortage we should develop land to aid that that doesn’t impact wildlife by also creating A nature reserve for local residents to be able to use
1262,without bees etc we would lose a lot of food we rely on
949,"Without more information about previous use of the land it was very difficult if not impossible to answer these questions, especially those based on photos alone."
388,Would be good to see them used to enhance the environment not detract further
509,would be nice to see them used for something that gives back to the community in the form of an area for people to enjoy or to help the planet in some way.
1144,Would be very concerned about building houses everywhere. There needs to be a balance between affordable housing and caring for the environment which to me is a priority
1529,Would rather a derelict site being used whether it’s housing or nature
915,Yes I was limited to my responses as the last 4 or 5 questions did not allow for a measured response by no letting me rank my preferences. It stopped me from listing as I wanted by giving limited response options.
1538,YOU NEEDTO KEEP THE GREEN SPACES FOR YOUR MENTEL HEALTH
1935,"Your questions are of a far to general nature, Brownfield sites can have either little in the way of problems, or huge amount of problems surrounding the site, the photos you show can look very innocent, turn round and it's a Nuclear power station!!"
